Category,Term,Count,%,PValue,Genes,List Total,Pop Hits,Pop Total,Fold Enrichment,Bonferroni,Benjamini,FDR,treatment,term_clean,-log10(p),gene_ratio
GOTERM_BP_FAT,GO:0034340~response to type I interferon,2,12.5,0.0614880580944014,"3434, 9636",14,93,19104,29.345622119815665,1.0,0.7880510302711036,0.783031596957275,nZF139,response to type I interferon,1.2112092225546869,0.14285714285714285
GOTERM_BP_FAT,GO:1901874~negative regulation of post-translational protein modification,2,12.5,0.0627711893803399,"3312, 9636",14,95,19104,28.727819548872176,1.0,0.7882437853829419,0.7832231243295473,nZF139,negative regulation of post-translational protein modification,1.2022396423159167,0.14285714285714285
GOTERM_BP_FAT,GO:0071396~cellular response to lipid,3,18.75,0.0640134284307803,"54541, 3312, 3399",14,616,19104,6.645640074211503,1.0,0.7882437853829419,0.7832231243295473,nZF139,cellular response to lipid,1.1937289122402943,0.21428571428571427
GOTERM_BP_FAT,GO:0007399~nervous system development,5,31.25,0.0695099231330762,"54541, 664, 3399, 3397, 124936",14,2395,19104,2.848792126453922,1.0,0.8394659947609977,0.834119077596915,nZF139,nervous system development,1.1579531917507462,0.35714285714285715
GOTERM_BP_FAT,GO:0031399~regulation of protein modification process,3,18.75,0.0732311232888016,"3312, 3486, 9636",14,665,19104,6.155961331901182,1.0,0.8528820238870869,0.8474496543081883,nZF139,regulation of protein modification process,1.1353043041891542,0.21428571428571427
GOTERM_BP_FAT,GO:0072593~reactive oxygen species metabolic process,2,12.5,0.0736126060703844,"54541, 664",14,112,19104,24.367346938775512,1.0,0.8528820238870869,0.8474496543081883,nZF139,reactive oxygen species metabolic process,1.1330478068852219,0.14285714285714285
GOTERM_BP_FAT,GO:0051248~negative regulation of protein metabolic process,3,18.75,0.0749707980464014,"3312, 3486, 9636",14,674,19104,6.073760067825349,1.0,0.8528820238870869,0.8474496543081883,nZF139,negative regulation of protein metabolic process,1.1251078661673095,0.21428571428571427
GOTERM_BP_FAT,GO:0045639~positive regulation of myeloid cell differentiation,2,12.5,0.0774112664993056,"3312, 9636",14,118,19104,23.128329297820823,1.0,0.8528820238870869,0.8474496543081883,nZF139,positive regulation of myeloid cell differentiation,1.1111958271414295,0.14285714285714285
GOTERM_BP_FAT,GO:1903900~regulation of viral life cycle,2,12.5,0.0774112664993056,"3434, 9636",14,118,19104,23.128329297820823,1.0,0.8528820238870869,0.8474496543081883,nZF139,regulation of viral life cycle,1.1111958271414295,0.14285714285714285
GOTERM_BP_FAT,GO:0009968~negative regulation of signal transduction,4,25.0,0.0880766589888521,"54541, 3312, 3486, 9636",14,1593,19104,3.4264191552327143,1.0,0.9536576180172264,0.9475833656731676,nZF139,negative regulation of signal transduction,1.0551391678127036,0.2857142857142857
KEGG_PATHWAY,hsa04350:TGF-beta signaling pathway,2,12.5,0.0901333017142661,"3399, 3397",9,110,9375,18.939393939393938,0.982779565549157,1.0,1.0,nZF139,TGF-beta signaling pathway,1.0451147198020112,0.2222222222222222
GOTERM_BP_FAT,GO:0050792~regulation of viral process,2,12.5,0.0943279708652921,"3434, 9636",14,145,19104,18.82167487684729,1.0,0.9691869563950076,0.963013791067651,nZF139,regulation of viral process,1.0253595077799253,0.14285714285714285
GOTERM_BP_FAT,GO:0007623~circadian rhythm,2,12.5,0.0949489812771192,"3399, 3397",14,146,19104,18.69275929549902,1.0,0.9691869563950076,0.963013791067651,nZF139,circadian rhythm,1.0225096905172653,0.14285714285714285
